Manually_corrected_soma_region,Bouton Number,TEB Ratio,Bouton Density,Geodesic Distance,Bouton Interval,Project Regions
AId,0.870156462444483,-0.5204689800102332,-1.5499228626499966,0.49638028108275006,2.230222666259937,1.4659387609518797
CLA,1.353824131064714,-0.4712555753823115,-1.0255549738740026,1.3714776525309875,1.1543540816065363,2.2706774398957617
MOp,0.6092370013036753,-0.4241937997999056,-0.6421503182586975,-0.17824985958902378,0.6846746224091177,0.6784762034450208
MOs,0.7552783829061636,-0.46334249514378406,-0.8760626028297073,-0.06848668437569772,0.900981808385686,1.0267196854875964
RSPv,0.7341814791765826,-0.19453538431331024,-0.4150131989298084,0.1464222077006537,0.03126747036220733,1.296951082764774
SSp-bfd,-0.007276817548725703,-0.3350564769687801,-0.43330107117467337,-0.3353730660196933,0.3933799032196583,0.3442487129397625
SSp-ll,-0.13713675961289065,-0.36839760242606256,-0.48900906150674456,-0.26518726786383506,0.3806199292658248,0.41311574828177333
SSp-m,-0.26957880605317125,-0.2824183822212052,-0.6504517163052526,-0.3031054540761466,0.3974535413547377,0.16987026877676561
SSp-n,-0.26374802413441684,-0.3266058290616305,-0.5747760782714559,-0.3967906619627759,0.3140681192625808,0.19642193040087766
SSp-ul,-0.03030850517285298,-0.13638863035584586,-0.5560597543122292,-0.03209781354444775,0.2004130208784507,0.49519016026471785
SSp-un,-0.24711998147493242,-0.3054886676745962,-0.9777100897605511,-0.30595739511632397,0.6572503919462785,0.7168976627641004
SSs,0.39307384706876375,-0.4194940304831144,-0.644110340166392,-0.33685480680436414,0.6051422751300316,0.7014553491571781
VISp,0.14586440565808637,-0.33530827684553505,0.4628438557547473,-1.0809172177885304,-0.23656303439569853,-0.0011646169654701607
VISrl,-0.3215043605000894,-0.46411944387163767,-0.6654244125957468,-0.7039434706924464,0.5359631785739258,0.5202033143928533
LGd,-0.019283820034882066,-0.45663641047068,0.03840240656388723,1.74737367466843,-0.1946761642581415,-0.3449952732700886
MG,0.0939483298221692,-0.4046706214494279,0.2726813641807727,0.7780380629033512,-0.40244196444410185,-0.03008607642612679
SMT,0.7036094077703832,-0.43446639500306483,0.02131282050880804,1.2060276021904415,-0.08895603274874017,-0.17824091241585222
VPL,0.13653228228171527,-0.37798594050453904,0.370168972633897,0.7941314668475267,-0.42055492640547004,-0.22550134305218505
VPM,-0.17727792493111888,-0.3148662010032765,0.42015598387307096,0.328941737035206,-0.5097458591875781,-0.4959064427885859
LD,0.9950230060146689,-0.23461000730350096,-0.10258250907715369,1.717916489987268,0.19452513423390552,0.21379217632319394
LP,0.6451071555366654,-0.3997449629454091,0.14923946345450995,1.7218011156651485,-0.38582895895492314,0.36621608429151936
VM,2.8565532712447737,-0.3232085568331911,-0.02689155929279359,1.9969323087851565,-0.2365201426027784,0.5212455291481922
RT,-0.41240170561104905,0.1603874896303388,0.8528055369612886,-0.8305776146368773,-0.5482367904021421,-0.6432761930673299
ACB,-1.0633981158493186,2.997732541600452,0.2149238238266078,-0.9624909961538717,0.003582665718724762,-0.6859865624527899
CP,-0.6851361224511117,1.2937332412291924,0.5834073488907544,-0.8397822849200935,-0.23576923878635217,-0.6927329418368121
OT,-0.9700879294177766,1.0853416740240842,0.3033661134598054,-1.188879933717947,-0.2946861277223867,-0.8035697656192387
